experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,targetspeed,map_rotation,hit,targetpole_movement_location_0,rmcardemo_usa_movement_location_0,main_camera_movement_location_0
vr driving simulator,STBE06,2,24,1,24,313.0315,324.4009,1,5,220.7079,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T024.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T024.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T024.csv
vr driving simulator,STBE06,2,25,1,25,324.4009,334.7035,1,4,180.4974,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T025.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T025.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T025.csv
vr driving simulator,STBE06,2,26,1,26,334.7035,345.2593,1,4,260.0215,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T026.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T026.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T026.csv
vr driving simulator,STBE06,2,27,1,27,345.2593,357.817,1,5,243.5669,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T027.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T027.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T027.csv
vr driving simulator,STBE06,2,28,1,28,357.817,370.1305,1,5,109.9283,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T028.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T028.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T028.csv
vr driving simulator,STBE06,2,29,1,29,370.1305,389.3106,1,6,92.89339,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T029.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T029.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T029.csv
vr driving simulator,STBE06,2,30,1,30,389.3106,399.6466,1,4,106.2933,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T030.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T030.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T030.csv
vr driving simulator,STBE06,2,31,1,31,399.6466,409.894,1,4,208.9791,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T031.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T031.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T031.csv
vr driving simulator,STBE06,2,32,1,32,409.894,421.1626,1,5,128.5339,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T032.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T032.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T032.csv
vr driving simulator,STBE06,2,33,1,33,421.1626,431.3083,1,4,120.9059,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T033.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T033.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T033.csv
vr driving simulator,STBE06,2,34,1,34,431.3083,441.5213,1,4,95.01627,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T034.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T034.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T034.csv
vr driving simulator,STBE06,2,35,1,35,441.5213,452.6022,1,5,168.2645,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T035.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T035.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T035.csv
vr driving simulator,STBE06,2,36,1,36,452.6022,462.8493,1,4,242.1071,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T036.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T036.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T036.csv
vr driving simulator,STBE06,2,37,1,37,462.8493,474.197,1,5,90.78695,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T037.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T037.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T037.csv
vr driving simulator,STBE06,2,38,1,38,474.197,485.3219,1,5,219.1991,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T038.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T038.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T038.csv
vr driving simulator,STBE06,2,39,1,39,485.3219,496.6594,1,5,212.1655,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T039.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T039.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T039.csv
vr driving simulator,STBE06,2,40,1,40,496.6594,512.3716,1,6,95.99271,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T040.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T040.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T040.csv
vr driving simulator,STBE06,2,41,1,41,512.3716,528.1187,1,6,269.7549,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T041.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T041.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T041.csv
vr driving simulator,STBE06,2,42,1,42,528.1187,538.3881,1,4,137.4922,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T042.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T042.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T042.csv
vr driving simulator,STBE06,2,43,1,43,538.3881,548.6351,1,4,205.0448,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T043.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T043.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T043.csv
vr driving simulator,STBE06,2,44,1,44,548.6351,558.7927,1,4,137.1515,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T044.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T044.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T044.csv
vr driving simulator,STBE06,2,45,1,45,558.7927,573.9066,1,6,143.8585,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T045.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T045.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T045.csv
vr driving simulator,STBE06,2,46,1,46,573.9066,588.1981,1,6,240.4698,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T046.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T046.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T046.csv
vr driving simulator,STBE06,2,47,1,47,588.1981,598.3677,1,4,212.8393,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T047.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T047.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T047.csv
vr driving simulator,STBE06,2,48,1,48,598.3677,613.271,1,6,145.5404,True,vr driving simulator/STBE06/S002/trackers/targetpole_movement_T048.csv,vr driving simulator/STBE06/S002/trackers/rmcardemo_usa_movement_T048.csv,vr driving simulator/STBE06/S002/trackers/main_camera_movement_T048.csv
