experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,condition,targetspeed,map_rotation,targetpole_movement_location_0,rmcardemo_usa_movement_location_0,main_camera_movement_location_0
vr driving simulator,tedst,1,1,1,1,33.98478,33.98478,1,5,149.3626,vr driving simulator/tedst/S001/trackers/targetpole_movement_T001.csv,vr driving simulator/tedst/S001/trackers/rmcardemo_usa_movement_T001.csv,vr driving simulator/tedst/S001/trackers/main_camera_movement_T001.csv
vr driving simulator,tedst,1,2,1,2,33.98478,,1,6,164.243,,,
