time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,forward_direction
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.6916,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.705,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.714,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.725,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.7362,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
424.7469,-12,3,70,0,0,0,(0.0_ 0.0_ 1.0)
